Id,Name,Description,Add,Zipcode,Region,Town,Tel,Opentime,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Parkinginfo
C3_371020000A_000318,六喜小館,六喜小館是一個有中式料理、四川菜的四川菜館，歡迎大家去品嘗好滋味。,金門縣金城鎮環島北路19號,893,金門縣,金城鎮,886-82-324931,每日開放,,,,,,,,118.322280,24.440990,03,,
C3_371020000A_000319,永春廣東粥,這家永春廣東粥，從祖父就開始經營，極盛時期，祖父跟父親同時經營兩家店，煮的手法與口味是代代相傳。而且與台灣的相當不一樣，看不到粥粒，是糜湯，不過料可不少，有加金門特殊的小魚丸，這種是用魚漿當天揉成，直徑約兩公分大小，吃起來軟軟有魚香味。廣東粥裡頭還有用碎肉末拌蔥珠(似乎是為了配合肉末的質感與大小)、剁的極碎荸齊夾雜，由於時是下鍋直接下碎肉末團，肉汁仍香甜的包覆在碎肉丸中，成為一大特色。,金門縣金城鎮莒光路162之1號,893,金門縣,金城鎮,886-82-327292,5:30 ~ 13:30,,,,,,,,118.316120,24.433710,09,,
C3_371020000A_000320,津味廣東稀粥,津味廣東粥是金門五十年的老店，是金湖舊市場商圈裡的老味道。老味道廣東粥是採用當天現宰之豬大骨，再加上獨家秘方熬煮數十小時而成，熬好之高湯濃似奶，奶白的湯色富含了極其珍貴之鈣質，再加白米熬成粥，粥底好了就可加進當天現宰的肉片、豬肝和自製肉丸，獨家風味就成了適合一家老少最豐富營養的早餐。一定不容錯過的，還有店內最耀眼的另一主角「手工水煎包」，水煎包係由老店阿公家傳於大陸故鄉作法，遵古謹製，傳襲至今，純手工Q彈的外皮，加上五十年不變的精心調製內餡，絕對是值得您一吃再吃 。,金門縣金湖鎮中興路44號,891,金門縣,金湖鎮,886-82-332145,11:00~19:00,,,,,,,,118.414710,24.441130,03,,
C3_371020000A_000321,科記廣東粥,位在著名的邱良功母節孝坊旁，開業已逾半世紀，為金門地區廣東粥老店之一。每天晚上熬煮新鮮的粥，經細火慢燉後成粥糜，口味相較於其他店家較為清淡，現在由第二代接手經營。粥糜中有滿滿的肉片及絞肉丸，再配上豬肝及魚丸，最後灑上一點胡椒粉跟芹菜末。記得在點根炸的香酥的油條，食用時先讓油條吸滿湯汁後入口，這是金門道地的吃法，其滋味堪稱一絕。另外本店還有老闆手工製作的蔥油餅及精心熬製的花生仁湯、綠豆湯可供選擇,金門縣金城鎮莒光路一段45號,893,金門縣,金城鎮,886-82-327251,5:00-13:00,,,,,,,,118.318610,24.431130,09,,
C3_371020000A_000322,聯成廣東粥,位於金門古蹟總兵署旁，五年前開業。老闆娘用心熬煮成一碗碗廣東粥，希望讓遠道而來的客人都能嚐一嚐媽媽的味道。就因為如此，這家店的粥品嚐起來很順口，仔細看著店員端來的廣東粥，發現它的粥是熬煮到米的顆粒幾乎看不出來，以小火熬煮成半透明的粥汁，粥內小肉丸紮實可口，肉汁鮮甜，再配上一根油條，氣味不同凡響。魚片的部分也是店家自已現炸，新鮮又好吃，最特別的是，它的粥中是有出現豬肝，這讓人大呼驚奇。蚵仔麵線則嚴選金門道地石蚵與手工麵線，石蚵雖小但肉質甜美有彈性，麵線久煮不爛，細細品嚐有著融合山海的奇妙滋味。,893金門縣金城鎮民生路45巷1號,893,金門縣,金城鎮,886-82-328994,06:30-14:00,,,,,,,,118.318899,24.435499,09,,
C3_371020000A_000323,阡湖餐廳,在地老饕喜愛的餐館，以在地食材及海鮮為主，因家人從事養殖漁業，所以每天都能提供鮮美的海鮮食材。老闆對魚料理特別在行，例如:油炸鐮齒，這種在地種魚，水分及軟骨膠質很多，有甜味，所以在油炸時要控制溫度，烹煮手腳要快，魚肉多汁軟嫩，是來阡湖必嚐的美食。另外，金門傳統的功夫菜─宴菜，以及以酒糟餵食生產、鹿茸酒滷製的鵪鶉蛋更是一絕，搭配老闆秘製的洛神花茶，保證去油解膩，暢意滿足！,金門縣金城鎮金門城5號之1,893,金門縣,金城鎮,886-82-320912,暫無資料,,,,,,,,118.308510,24.400990,03,,
C3_371020000A_000324,金瓦城,創立於91(2002)年的金瓦城餐廳，店裡簡潔明亮的環境，讓客人進門就留下好印象。原在台灣工作的老闆返回金門開設餐廳，他對食材品質的堅持，讓餐廳短短的時間內就在金門地區獲得很好的口碑，更成為三五好友或全家人聚餐的最佳選擇。來到這裡千萬別錯過的美味料理有高粱醉雞、蚵仔酥、軟花枝、絲瓜、橙汁排骨、蟳等料理，道道都是頗受饕客喜愛呦！另外最值得推薦的就是由老闆親自研發的酸白菜料理。可利用連續假期到金門走走時，千萬別錯過這一家大家都推薦的好餐廳。飯後甜點是自製的椰果西米露，口感滑順，很棒唷,金門縣金城鎮浯江北堤路14號,893,金門縣,金城鎮,886-82-322669,11:00-14:00；17:00-21:00,,,,,,,,118.321080,24.429820,03,,
C3_371020000A_000326,榕門小館,於民國85(1996)年開業，位在金門高中側門旁，是專賣海產及江浙料理的餐廳。採用金門在地特有的食材，以精緻的料理手法，提供道地金門口味及平價的美食，是各種聚餐的好處所。餐點深受金門地區民眾所喜愛，尤以梅干扣肉、海蚵酥最受歡迎，是饕客上門必點的菜餚。海蚵酥是嚴選金門特產石蚵裏粉酥炸而成，而梅干扣肉是利用梅干吸取豬肉的油膩感，需經過水、油炸、滷、蒸最後勾芡才能完成，製作非常的費時，真是非吃不可喔 。,金門縣金城鎮民權路91號,893,金門縣,金城鎮,886-82-323634,11:00~14:00;17:00~21:00.,,,,,,,,118.315780,24.435030,03,,
C3_371020000A_000327,滿天星餐飲,創始於1988年，開業至今已23載，為金門排餐老店。食材皆為當天新鮮市場採買。店裡使用的排餐醬汁，都由老闆自行研發，以手工慢火細心熬煮，食材則是採紐西蘭進口肉品，品質有保障，以平實的價格，搶攻排餐市場。店內不僅可以享用美味排餐，亦提供炒飯、燴飯、炒麵、湯麵等多樣化選擇，掌廚者為老闆本人，擁有二十多年掌廚經驗，提供現點、現煮的美味餐點，擁有固定消費族群。本店還提供餐點外帶服務，可提前電話訂購取餐 。,金門縣金湖鎮復興路47號,891,金門縣,金湖鎮,886-82-333316,11:00~20:00,,,,,,,,118.416230,24.441050,01,,
C3_371020000A_000328,葡京餐廳,金門氣派美食餐廳~~葡京港式海鮮餐廳葡京的招牌菜有「高粱嗆蟹」、「金門宴菜」、「酸辣沙蟲羹」、「清蒸鰣魚」、「羊肉麵線」、「嗆蟹」、「紅蟳焗絲煲」、「龍蝦三明治」、「豆汁魚乾湯」、「龍蝦元寶」、「紅糟子排」、「酸白菜白肉鍋」、「紅魽生魚片」。每道美食都是廚師精心烹調的佳餚!!!,金門縣金城鎮西海路三段2巷12號,893,金門縣,金城鎮,886-82-320115,09:00 AM ~ 17:00 PM,,,,,,,,118.306070,24.417450,03,,
